ACL Name,Line,Line Text,In Use,Too General?,Source Clusters,Destination Clusters
ACL_IN,77,access-list ACL_IN extended permit ICMP any object Sharepoint_DC,True,False,External,Sharepoint DC
ACL_IN,78,access-list ACL_IN extended permit UDP object Sharepoint_Search object Domain_Controllers eq domain,True,False,Sharepoint Search,Domain Controllers
ACL_IN,79,access-list ACL_IN extended permit UDP object Sharepoint_Search object Domain_Controllers eq ntp,True,False,Sharepoint Search,Domain Controllers
ACL_IN,80,access-list ACL_IN extended permit UDP object Sharepoint_Search object Domain_Controllers eq 389,True,False,Sharepoint Search,Domain Controllers
ACL_IN,81,access-list ACL_IN extended permit ICMP object Sharepoint_Search object Domain_Controllers,True,False,Sharepoint Search,Domain Controllers
ACL_IN,82,access-list ACL_IN extended permit TCP object Sharepoint_Search object Domain_Controllers eq 88,True,False,Sharepoint Search,Domain Controllers
ACL_IN,83,access-list ACL_IN extended permit TCP object Sharepoint_Search object Domain_Controllers eq 135,True,False,Sharepoint Search,Domain Controllers
ACL_IN,84,access-list ACL_IN extended permit TCP object Sharepoint_Search object Domain_Controllers eq ldap,True,False,Sharepoint Search,Domain Controllers
ACL_IN,85,access-list ACL_IN extended permit TCP object Sharepoint_Search object Domain_Controllers eq 445,True,False,Sharepoint Search,Domain Controllers
ACL_IN,86,access-list ACL_IN extended permit TCP object Sharepoint_Search object Domain_Controllers eq 49155,True,False,Sharepoint Search,Domain Controllers
ACL_IN,87,access-list ACL_IN extended permit TCP object Sharepoint_Search object Domain_Controllers eq 49158,True,False,Sharepoint Search,Domain Controllers
ACL_IN,88,access-list ACL_IN extended permit ICMP object VDI_Jump_Server object Web_Servers,True,False,VDI Jump Server,Web Servers
ACL_IN,89,access-list ACL_IN extended permit TCP any object Reporting_Service eq 7850,True,False,External,Reporting Service
ACL_IN,90,access-list ACL_IN extended permit TCP any object Reporting_Service eq 7852,True,False,External,Reporting Service
ACL_IN,91,access-list ACL_IN extended permit ICMP any object Reporting_Service,True,False,External,Reporting Service
ACL_IN,92,access-list ACL_IN extended permit TCP object Sharepoint_Search object Reporting_Service eq 7830,True,False,Sharepoint Search,Reporting Service
ACL_IN,93,access-list ACL_IN extended permit TCP object Sharepoint_Search object Reporting_Service range 7880-7881,True,False,Sharepoint Search,Reporting Service
ACL_IN,94,access-list ACL_IN extended permit TCP object Sharepoint_Search object Reporting_Service eq 7883,True,False,Sharepoint Search,Reporting Service
ACL_IN,95,access-list ACL_IN extended permit TCP object Reporting_Service object Tetration_Cluster_(172.26.46.0/24) eq https,True,False,Reporting Service,Tetration Cluster (172.26.46.0/24)
ACL_IN,96,access-list ACL_IN extended permit TCP object Reporting_Service object Tetration_Cluster_(172.26.46.0/24) eq 5640,True,False,Reporting Service,Tetration Cluster (172.26.46.0/24)
ACL_IN,97,access-list ACL_IN extended permit TCP object Domain_Controllers object Sharepoint_Search eq 53951,True,False,Domain Controllers,Sharepoint Search
ACL_IN,98,access-list ACL_IN extended permit TCP object Domain_Controllers object Sharepoint_Search eq 58546,True,False,Domain Controllers,Sharepoint Search
ACL_IN,99,access-list ACL_IN extended permit TCP object Domain_Controllers object Sharepoint_Search eq 58945,True,False,Domain Controllers,Sharepoint Search
ACL_IN,100,access-list ACL_IN extended permit TCP object Domain_Controllers object Sharepoint_Search eq 59548,True,False,Domain Controllers,Sharepoint Search
ACL_IN,101,access-list ACL_IN extended permit TCP object Domain_Controllers object Sharepoint_Search eq 61997,True,False,Domain Controllers,Sharepoint Search
ACL_IN,102,access-list ACL_IN extended permit UDP object VDI_Jump_Server any range 137-138,True,False,VDI Jump Server,External
ACL_IN,103,access-list ACL_IN extended permit UDP object VDI_Jump_Server any eq 5355,True,False,VDI Jump Server,External
ACL_IN,104,access-list ACL_IN extended permit UDP object Domain_Controllers object Sharepoint_Front-End eq 58838,True,False,Domain Controllers,Sharepoint Front-End
ACL_IN,105,access-list ACL_IN extended permit UDP object Domain_Controllers object Sharepoint_Front-End eq 60852,True,False,Domain Controllers,Sharepoint Front-End
ACL_IN,106,access-list ACL_IN extended permit UDP object Domain_Controllers object Sharepoint_Front-End eq 61239,True,False,Domain Controllers,Sharepoint Front-End
ACL_IN,107,access-list ACL_IN extended permit UDP object Domain_Controllers object Sharepoint_Front-End eq 63786,True,False,Domain Controllers,Sharepoint Front-End
ACL_IN,108,access-list ACL_IN extended permit ICMP object Reporting_Service object Domain_Controllers,True,False,Reporting Service,Domain Controllers
ACL_IN,109,access-list ACL_IN extended permit UDP object Reporting_Service object Domain_Controllers eq domain,True,False,Reporting Service,Domain Controllers
ACL_IN,110,access-list ACL_IN extended permit UDP object Reporting_Service object Domain_Controllers eq ntp,True,False,Reporting Service,Domain Controllers
ACL_IN,111,access-list ACL_IN extended permit UDP object Reporting_Service object Domain_Controllers eq netbios-ns,True,False,Reporting Service,Domain Controllers
ACL_IN,112,access-list ACL_IN extended permit UDP object Reporting_Service object Domain_Controllers eq 389,True,False,Reporting Service,Domain Controllers
ACL_IN,113,access-list ACL_IN extended permit TCP object Reporting_Service object Domain_Controllers eq domain,True,False,Reporting Service,Domain Controllers
ACL_IN,114,access-list ACL_IN extended permit TCP object Reporting_Service object Domain_Controllers eq 88,True,False,Reporting Service,Domain Controllers
ACL_IN,115,access-list ACL_IN extended permit TCP object Reporting_Service object Domain_Controllers eq 135,True,False,Reporting Service,Domain Controllers
ACL_IN,116,access-list ACL_IN extended permit TCP object Reporting_Service object Domain_Controllers eq netbios-ssn,True,False,Reporting Service,Domain Controllers
ACL_IN,117,access-list ACL_IN extended permit TCP object Reporting_Service object Domain_Controllers eq ldap,True,False,Reporting Service,Domain Controllers
ACL_IN,118,access-list ACL_IN extended permit TCP object Reporting_Service object Domain_Controllers eq 445,True,False,Reporting Service,Domain Controllers
ACL_IN,119,access-list ACL_IN extended permit TCP object Reporting_Service object Domain_Controllers eq 49155,True,False,Reporting Service,Domain Controllers
ACL_IN,120,access-list ACL_IN extended permit TCP object Reporting_Service object Domain_Controllers eq 49158,True,False,Reporting Service,Domain Controllers
ACL_IN,121,access-list ACL_IN extended permit UDP object Web_Servers any eq 5355,True,False,Web Servers,External
ACL_IN,122,access-list ACL_IN extended permit UDP object Web_Servers any range 137-138,True,False,Web Servers,External
ACL_IN,123,access-list ACL_IN extended permit UDP object MSSQL_Database any range 137-138,True,False,MSSQL Database,External
